,nr,participant,run,direction,surface,count,dur
0,170,TWOU,noucfog,BR,gaze_lmopt,0,9016.6640625
0,170,TWOU,noucfog,BR,gaze_tm,4,9016.6640625
0,170,TWOU,noucfog,BR,gaze_tmopt,120,9016.6640625
0,170,TWOU,noucfog,BR,none,315,9016.6640625
0,171,TWOU,noucfog,FRs,total,320,3330.0
0,171,TWOU,noucfog,FRs,gaze_fw,238,3330.0
0,171,TWOU,noucfog,FRs,gaze_ic,0,3330.0
0,171,TWOU,noucfog,FRs,gaze_lm,0,3330.0
0,171,TWOU,noucfog,FRs,gaze_lmopt,0,3330.0
0,171,TWOU,noucfog,FRs,gaze_tm,79,3330.0
0,171,TWOU,noucfog,FRs,gaze_tmopt,111,3330.0
0,171,TWOU,noucfog,FRs,none,13,3330.0
0,172,TWOU,noucfog,FL,total,949,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_fw,778,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_ic,0,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_lm,0,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_lmopt,0,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_tm,103,9449.98999999999
0,172,TWOU,noucfog,FL,gaze_tmopt,115,9449.98999999999
0,172,TWOU,noucfog,FL,none,56,9449.98999999999
0,173,TWOU,noucfog,BL,total,873,9223.328125
0,173,TWOU,noucfog,BL,gaze_fw,556,9223.328125
0,173,TWOU,noucfog,BL,gaze_ic,0,9223.328125
0,173,TWOU,noucfog,BL,gaze_lm,0,9223.328125
0,173,TWOU,noucfog,BL,gaze_lmopt,0,9223.328125
0,173,TWOU,noucfog,BL,gaze_tm,230,9223.328125
0,173,TWOU,noucfog,BL,gaze_tmopt,236,9223.328125
0,173,TWOU,noucfog,BL,none,84,9223.328125
0,174,TWOU,noucfog,FRs,total,312,3350.0
0,174,TWOU,noucfog,FRs,gaze_fw,193,3350.0
0,174,TWOU,noucfog,FRs,gaze_ic,0,3350.0
0,174,TWOU,noucfog,FRs,gaze_lm,0,3350.0
0,174,TWOU,noucfog,FRs,gaze_lmopt,0,3350.0
0,174,TWOU,noucfog,FRs,gaze_tm,89,3350.0
0,174,TWOU,noucfog,FRs,gaze_tmopt,112,3350.0
0,174,TWOU,noucfog,FRs,none,34,3350.0
0,175,TWOU,noucfog,BR,total,881,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_fw,605,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_ic,0,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_lm,0,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_lmopt,0,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_tm,71,8960.01999999999
0,175,TWOU,noucfog,BR,gaze_tmopt,74,8960.01999999999
0,175,TWOU,noucfog,BR,none,205,8960.01999999999
0,176,TWOU,noucfog,BL,total,896,9253.328125
0,176,TWOU,noucfog,BL,gaze_fw,554,9253.328125
0,176,TWOU,noucfog,BL,gaze_ic,0,9253.328125
0,176,TWOU,noucfog,BL,gaze_lm,0,9253.328125
0,176,TWOU,noucfog,BL,gaze_lmopt,0,9253.328125
0,176,TWOU,noucfog,BL,gaze_tm,245,9253.328125
0,176,TWOU,noucfog,BL,gaze_tmopt,258,9253.328125
0,176,TWOU,noucfog,BL,none,93,9253.328125
0,177,TWOU,noucfog,BR,total,765,7863.328125
0,177,TWOU,noucfog,BR,gaze_fw,360,7863.328125
0,177,TWOU,noucfog,BR,gaze_ic,0,7863.328125
0,177,TWOU,noucfog,BR,gaze_lm,0,7863.328125
0,177,TWOU,noucfog,BR,gaze_lmopt,0,7863.328125
0,177,TWOU,noucfog,BR,gaze_tm,42,7863.328125
0,177,TWOU,noucfog,BR,gaze_tmopt,72,7863.328125
0,177,TWOU,noucfog,BR,none,336,7863.328125
0,178,TWOU,noucfog,FR,total,1452,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_fw,1124,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_ic,0,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_lm,0,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_lmopt,0,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_tm,109,14319.98999999999
0,178,TWOU,noucfog,FR,gaze_tmopt,246,14319.98999999999
0,178,TWOU,noucfog,FR,none,190,14319.98999999999
0,179,TWOU,noucfog,FR,total,1068,10800.0
0,179,TWOU,noucfog,FR,gaze_fw,716,10800.0
0,179,TWOU,noucfog,FR,gaze_ic,0,10800.0
0,179,TWOU,noucfog,FR,gaze_lm,0,10800.0
0,179,TWOU,noucfog,FR,gaze_lmopt,0,10800.0
0,179,TWOU,noucfog,FR,gaze_tm,288,10800.0
0,179,TWOU,noucfog,FR,gaze_tmopt,380,10800.0
0,179,TWOU,noucfog,FR,none,54,10800.0
0,81,TWOU,ucrain,F,total,906,9120.0
0,81,TWOU,ucrain,F,gaze_fw,489,9120.0
0,81,TWOU,ucrain,F,gaze_ic,0,9120.0
0,81,TWOU,ucrain,F,gaze_lm,0,9120.0
0,81,TWOU,ucrain,F,gaze_lmopt,0,9120.0
0,81,TWOU,ucrain,F,gaze_tm,280,9120.0
0,81,TWOU,ucrain,F,gaze_tmopt,325,9120.0
0,81,TWOU,ucrain,F,none,104,9120.0
0,82,TWOU,ucrain,F,total,0,
0,82,TWOU,ucrain,F,gaze_fw,0,
0,82,TWOU,ucrain,F,gaze_ic,0,
0,82,TWOU,ucrain,F,gaze_lm,0,
0,82,TWOU,ucrain,F,gaze_lmopt,0,
0,82,TWOU,ucrain,F,gaze_tm,0,
0,82,TWOU,ucrain,F,gaze_tmopt,0,
0,82,TWOU,ucrain,F,none,0,
0,83,TWOU,ucrain,F,total,843,8910.0
0,83,TWOU,ucrain,F,gaze_fw,711,8910.0
0,83,TWOU,ucrain,F,gaze_ic,0,8910.0
0,83,TWOU,ucrain,F,gaze_lm,0,8910.0
0,83,TWOU,ucrain,F,gaze_lmopt,0,8910.0
0,83,TWOU,ucrain,F,gaze_tm,8,8910.0
0,83,TWOU,ucrain,F,gaze_tmopt,114,8910.0
0,83,TWOU,ucrain,F,none,79,8910.0
0,84,TWOU,ucrain,F,total,891,8980.0
0,84,TWOU,ucrain,F,gaze_fw,775,8980.0
0,84,TWOU,ucrain,F,gaze_ic,0,8980.0
0,84,TWOU,ucrain,F,gaze_lm,0,8980.0
0,84,TWOU,ucrain,F,gaze_lmopt,0,8980.0
0,84,TWOU,ucrain,F,gaze_tm,0,8980.0
0,84,TWOU,ucrain,F,gaze_tmopt,126,8980.0
0,84,TWOU,ucrain,F,none,110,8980.0
0,85,TWOU,ucrain,F,total,831,9380.0
0,85,TWOU,ucrain,F,gaze_fw,639,9380.0
0,85,TWOU,ucrain,F,gaze_ic,0,9380.0
