,nr,participant,run,direction,surface,count
0,81,TWOU,ucrain,F,gaze_ic,0
0,81,TWOU,ucrain,F,gaze_lm,0
0,81,TWOU,ucrain,F,gaze_lmopt,0
0,81,TWOU,ucrain,F,gaze_tm,280
0,81,TWOU,ucrain,F,gaze_tmopt,325
0,81,TWOU,ucrain,F,none,104
0,82,TWOU,ucrain,F,total,0
0,82,TWOU,ucrain,F,gaze_fw,0
0,82,TWOU,ucrain,F,gaze_ic,0
0,82,TWOU,ucrain,F,gaze_lm,0
0,82,TWOU,ucrain,F,gaze_lmopt,0
0,82,TWOU,ucrain,F,gaze_tm,0
0,82,TWOU,ucrain,F,gaze_tmopt,0
0,82,TWOU,ucrain,F,none,0
0,83,TWOU,ucrain,F,total,843
0,83,TWOU,ucrain,F,gaze_fw,711
0,83,TWOU,ucrain,F,gaze_ic,0
0,83,TWOU,ucrain,F,gaze_lm,0
0,83,TWOU,ucrain,F,gaze_lmopt,0
0,83,TWOU,ucrain,F,gaze_tm,8
0,83,TWOU,ucrain,F,gaze_tmopt,114
0,83,TWOU,ucrain,F,none,79
0,84,TWOU,ucrain,F,total,891
0,84,TWOU,ucrain,F,gaze_fw,775
0,84,TWOU,ucrain,F,gaze_ic,0
0,84,TWOU,ucrain,F,gaze_lm,0
0,84,TWOU,ucrain,F,gaze_lmopt,0
0,84,TWOU,ucrain,F,gaze_tm,0
0,84,TWOU,ucrain,F,gaze_tmopt,126
0,84,TWOU,ucrain,F,none,110
0,85,TWOU,ucrain,F,total,831
0,85,TWOU,ucrain,F,gaze_fw,639
0,85,TWOU,ucrain,F,gaze_ic,0
0,85,TWOU,ucrain,F,gaze_lm,0
0,85,TWOU,ucrain,F,gaze_lmopt,0
0,85,TWOU,ucrain,F,gaze_tm,0
0,85,TWOU,ucrain,F,gaze_tmopt,166
0,85,TWOU,ucrain,F,none,104
0,86,TWOU,ucrain,B,total,0
0,86,TWOU,ucrain,B,gaze_fw,0
0,86,TWOU,ucrain,B,gaze_ic,0
0,86,TWOU,ucrain,B,gaze_lm,0
0,86,TWOU,ucrain,B,gaze_lmopt,0
0,86,TWOU,ucrain,B,gaze_tm,0
0,86,TWOU,ucrain,B,gaze_tmopt,0
0,86,TWOU,ucrain,B,none,0
0,87,TWOU,ucrain,B,total,953
0,87,TWOU,ucrain,B,gaze_fw,702
0,87,TWOU,ucrain,B,gaze_ic,0
0,87,TWOU,ucrain,B,gaze_lm,0
0,87,TWOU,ucrain,B,gaze_lmopt,0
0,87,TWOU,ucrain,B,gaze_tm,0
0,87,TWOU,ucrain,B,gaze_tmopt,44
0,87,TWOU,ucrain,B,none,248
0,88,TWOU,ucrain,B,total,1009
0,88,TWOU,ucrain,B,gaze_fw,840
0,88,TWOU,ucrain,B,gaze_ic,0
0,88,TWOU,ucrain,B,gaze_lm,0
0,88,TWOU,ucrain,B,gaze_lmopt,0
0,88,TWOU,ucrain,B,gaze_tm,0
0,88,TWOU,ucrain,B,gaze_tmopt,90
0,88,TWOU,ucrain,B,none,151
0,89,TWOU,ucrain,B,total,1090
0,89,TWOU,ucrain,B,gaze_fw,637
0,89,TWOU,ucrain,B,gaze_ic,0
0,89,TWOU,ucrain,B,gaze_lm,0
0,89,TWOU,ucrain,B,gaze_lmopt,0
0,89,TWOU,ucrain,B,gaze_tm,0
0,89,TWOU,ucrain,B,gaze_tmopt,49
0,89,TWOU,ucrain,B,none,407
0,72,TWOU,noucrain,F,total,854
0,72,TWOU,noucrain,F,gaze_fw,765
0,72,TWOU,noucrain,F,gaze_ic,0
0,72,TWOU,noucrain,F,gaze_lm,0
0,72,TWOU,noucrain,F,gaze_lmopt,0
0,72,TWOU,noucrain,F,gaze_tm,0
0,72,TWOU,noucrain,F,gaze_tmopt,135
0,72,TWOU,noucrain,F,none,90
0,73,TWOU,noucrain,F,total,0
0,73,TWOU,noucrain,F,gaze_fw,0
0,73,TWOU,noucrain,F,gaze_ic,0
0,73,TWOU,noucrain,F,gaze_lm,0
0,73,TWOU,noucrain,F,gaze_lmopt,0
0,73,TWOU,noucrain,F,gaze_tm,0
0,73,TWOU,noucrain,F,gaze_tmopt,0
0,73,TWOU,noucrain,F,none,0
0,74,TWOU,noucrain,F,total,909
0,74,TWOU,noucrain,F,gaze_fw,624
0,74,TWOU,noucrain,F,gaze_ic,0
0,74,TWOU,noucrain,F,gaze_lm,0
0,74,TWOU,noucrain,F,gaze_lmopt,0
0,74,TWOU,noucrain,F,gaze_tm,46
0,74,TWOU,noucrain,F,gaze_tmopt,216
0,74,TWOU,noucrain,F,none,215
0,75,TWOU,noucrain,F,total,862
0,75,TWOU,noucrain,F,gaze_fw,672
0,75,TWOU,noucrain,F,gaze_ic,0
0,75,TWOU,noucrain,F,gaze_lm,0
0,75,TWOU,noucrain,F,gaze_lmopt,0
0,75,TWOU,noucrain,F,gaze_tm,0
0,75,TWOU,noucrain,F,gaze_tmopt,249
0,75,TWOU,noucrain,F,none,170
0,76,TWOU,noucrain,F,total,921
0,76,TWOU,noucrain,F,gaze_fw,736
0,76,TWOU,noucrain,F,gaze_ic,0
0,76,TWOU,noucrain,F,gaze_lm,0
0,76,TWOU,noucrain,F,gaze_lmopt,0
0,76,TWOU,noucrain,F,gaze_tm,0
0,76,TWOU,noucrain,F,gaze_tmopt,133
0,76,TWOU,noucrain,F,none,183
0,77,TWOU,noucrain,B,total,0
0,77,TWOU,noucrain,B,gaze_fw,0
0,77,TWOU,noucrain,B,gaze_ic,0
0,77,TWOU,noucrain,B,gaze_lm,0
0,77,TWOU,noucrain,B,gaze_lmopt,0
0,77,TWOU,noucrain,B,gaze_tm,0
0,77,TWOU,noucrain,B,gaze_tmopt,0
0,77,TWOU,noucrain,B,none,0
0,78,TWOU,noucrain,B,total,924
0,78,TWOU,noucrain,B,gaze_fw,597
0,78,TWOU,noucrain,B,gaze_ic,0
0,78,TWOU,noucrain,B,gaze_lm,0
0,78,TWOU,noucrain,B,gaze_lmopt,0
0,78,TWOU,noucrain,B,gaze_tm,0
0,78,TWOU,noucrain,B,gaze_tmopt,91
0,78,TWOU,noucrain,B,none,286
0,79,TWOU,noucrain,B,total,982
0,79,TWOU,noucrain,B,gaze_fw,854
0,79,TWOU,noucrain,B,gaze_ic,4
0,79,TWOU,noucrain,B,gaze_lm,0
0,79,TWOU,noucrain,B,gaze_lmopt,0
0,79,TWOU,noucrain,B,gaze_tm,0
0,79,TWOU,noucrain,B,gaze_tmopt,0
0,79,TWOU,noucrain,B,none,128
0,80,TWOU,noucrain,B,total,1046
0,80,TWOU,noucrain,B,gaze_fw,706
0,80,TWOU,noucrain,B,gaze_ic,0
0,80,TWOU,noucrain,B,gaze_lm,0
0,80,TWOU,noucrain,B,gaze_lmopt,0
0,80,TWOU,noucrain,B,gaze_tm,0
0,80,TWOU,noucrain,B,gaze_tmopt,0
0,80,TWOU,noucrain,B,none,344
0,235,MVNT,uctun,FL,total,1272
0,235,MVNT,uctun,FL,gaze_fw,1154
0,235,MVNT,uctun,FL,gaze_ic,0
0,235,MVNT,uctun,FL,gaze_lm,0
0,235,MVNT,uctun,FL,gaze_lmopt,0
0,235,MVNT,uctun,FL,gaze_tm,0
0,235,MVNT,uctun,FL,gaze_tmopt,0
0,235,MVNT,uctun,FL,none,118
0,236,MVNT,uctun,FR,total,1459
0,236,MVNT,uctun,FR,gaze_fw,1310
0,236,MVNT,uctun,FR,gaze_ic,0
0,236,MVNT,uctun,FR,gaze_lm,0
0,236,MVNT,uctun,FR,gaze_lmopt,19
0,236,MVNT,uctun,FR,gaze_tm,30
0,236,MVNT,uctun,FR,gaze_tmopt,157
0,236,MVNT,uctun,FR,none,121
0,237,MVNT,uctun,FL,total,1435
0,237,MVNT,uctun,FL,gaze_fw,950
0,237,MVNT,uctun,FL,gaze_ic,0
0,237,MVNT,uctun,FL,gaze_lm,0
0,237,MVNT,uctun,FL,gaze_lmopt,0
0,237,MVNT,uctun,FL,gaze_tm,19
0,237,MVNT,uctun,FL,gaze_tmopt,57
0,237,MVNT,uctun,FL,none,461
0,238,MVNT,uctun,BL,total,1167
0,238,MVNT,uctun,BL,gaze_fw,961
0,238,MVNT,uctun,BL,gaze_ic,0
0,238,MVNT,uctun,BL,gaze_lm,0
0,238,MVNT,uctun,BL,gaze_lmopt,0
0,238,MVNT,uctun,BL,gaze_tm,1
0,238,MVNT,uctun,BL,gaze_tmopt,19
0,238,MVNT,uctun,BL,none,204
0,239,MVNT,uctun,BR,total,1343
0,239,MVNT,uctun,BR,gaze_fw,819
0,239,MVNT,uctun,BR,gaze_ic,0
0,239,MVNT,uctun,BR,gaze_lm,0
0,239,MVNT,uctun,BR,gaze_lmopt,0
0,239,MVNT,uctun,BR,gaze_tm,37
0,239,MVNT,uctun,BR,gaze_tmopt,48
0,239,MVNT,uctun,BR,none,490
0,240,MVNT,uctun,FRs,total,430
0,240,MVNT,uctun,FRs,gaze_fw,411
0,240,MVNT,uctun,FRs,gaze_ic,0
0,240,MVNT,uctun,FRs,gaze_lm,0
0,240,MVNT,uctun,FRs,gaze_lmopt,0
0,240,MVNT,uctun,FRs,gaze_tm,0
0,240,MVNT,uctun,FRs,gaze_tmopt,0
0,240,MVNT,uctun,FRs,none,19
0,241,MVNT,uctun,FL,total,1527
0,241,MVNT,uctun,FL,gaze_fw,1210
0,241,MVNT,uctun,FL,gaze_ic,0
0,241,MVNT,uctun,FL,gaze_lm,0
0,241,MVNT,uctun,FL,gaze_lmopt,0
0,241,MVNT,uctun,FL,gaze_tm,6
0,241,MVNT,uctun,FL,gaze_tmopt,31
0,241,MVNT,uctun,FL,none,309
0,242,MVNT,uctun,BL,total,1192
0,242,MVNT,uctun,BL,gaze_fw,730
